gene.ids,gene.symb
10238,DCAF7
6603,SMARCD2
374819,LRRC37A3
23580,CDC42EP4
51155,JPT1
23163,GGA3
85451,UNK
201294,UNC13D
64978,MRPL38
51,ACOX1
283991,UBALD2
768206,PRCD
11322,TMC6
100141515,C17orf99
125061,AFMID
57602,USP36
57332,CBX8
146705,TEPSIN
284185,LINC00482
348262,MCRIP1
5831,PYCR1
51181,DCXR
7050,TGIF1
23253,ANKRD12
3613,IMPA2
8780,RIOK3
100101467,ZSCAN30
4087,SMAD2
682,BSG
10272,FSTL3
90007,MIDN
54760,PCSK4
6929,TCF3
83855,KLF16
81926,ABHD17A
2872,MKNK2
148254,ZNF555
58492,ZNF77
27134,TJP3
6455,SH3GL1
10036,CHAF1A
126282,TNFAIP8L1
2527,FUT5
84266,ALKBH7
57192,MCOLN1
115704,EVI5L
84330,ZNF414
7297,TYK2
5141,PDE4A
1785,DNM2
10498,CARM1
6597,SMARCA4
25959,KANK2
2057,EPOR
199692,ZNF627
10224,ZNF443
811,CALR
199699,DAND5
4066,LYL1
112939,NACC1
8677,STX10
81576,CCDC130
5989,RFX1
10755,GIPC1
10994,ILVBL
79086,SMIM7
79016,DDA1
84769,MPV17L2
5143,PDE4C
100422833,MIR3188
9518,GDF15
23770,FKBP8
55049,REX1BD
400684,LOC400684
3249,HPN
51599,LSR
79713,IGFLR1
148137,PROSER3
199745,THAP8
147929,ZNF565
64073,C19orf33
57828,CATSPERG
3191,HNRNPL
64857,PLEKHG2
126526,C19orf47
29946,SERTAD3
8425,LTBP4
9253,NUMBL
9138,ARHGEF1
5050,PAFAH1B3
5819,NECTIN2
1209,CLPTM1
24139,EML2
2696,GIPR
83987,CCDC8
100506012,PPP5D1
255783,INAFM1
8775,NAPA
93233,CCDC114
23546,SYNGR4
56848,SPHK2
1628,DBP
2512,FTL
6625,SNRNP70
55150,C19orf73
54795,TRPM4
6237,RRAS
160,AP2A1
91663,MYADM
4849,CNOT3
54869,EPS8L1
352909,DNAAF3
27338,UBE2S
79763,ISOC2
84922,FIZ1
126208,ZNF787
7554,ZNF8
10998,SLC27A5
129787,TMEM18
51112,TRAPPC12
57498,KIDINS220
6868,ADAM17
10971,YWHAQ
84450,ZNF512
2355,FOSL2
51646,YPEL5
55676,SLC30A6
57448,BIRC6
55622,TTC27
6801,STRN
63892,THADA
5495,PPM1B
9655,SOCS5
55704,CCDC88A
57223,PPP4R3B
9736,USP34
7514,XPO1
10322,SMYD5
84279,PRADC1
85474,LBX2
284948,SH2D6
4144,MAT2A
56910,STARD7
23020,SNRNP200
51263,MRPL30
84910,TMEM87B
10096,ACTR3
5775,PTPN4
5000,ORC4
55660,PRPF40A
151188,ARL6IP6
29994,BAZ2B
6335,SCN9A
79901,CYBRD1
8604,SLC25A12
5163,PDK1
29789,OLA1
1386,ATF2
4780,NFE2L2
8575,PRKRA
100506866,TTN-AS1
10787,NCKAP1
100529241,HSPE1-MOB4
3300,DNAJB2
29926,GMPPA
9759,HDAC4
6666,SOX12
55902,ACSS2
647979,NORAD
22839,DLGAP4
128439,SNHG11
81610,FAM83D
100505783,OSER1-DT
767557,SYS1-DBNDD2
90196,SYS1
5360,PLTP
10564,ARFGEF2
284751,LINC01270
5770,PTPN1
140876,RIPOR3
51507,RTF2
140690,CTCFL
10732,TCFL5
100506215,PAXBP1-AS1
757,TMEM50B
6453,ITSN1
10311,VPS26C
1859,DYRK1A
8624,PSMG1
5316,PKNOX1
8566,PDXK
8209,GATD3A
5116,PCNT
3275,PRMT2
8218,CLTCL1
64976,MRPL40
128989,TANGO2
54487,DGCR8
100500860,MIR3618
27037,TRMT2A
8216,LZTR1
9127,P2RX6
23762,OSBP2
113791,PIK3IP1
100302237,MIR1281
10766,TOB2
3708,ITPR1
8553,BHLHE40
440944,THUMPD3-AS1
64419,MTMR14
10093,ARPC4
23609,MKRN2
100505641,FGD5-AS1
344875,COL6A4P1
9779,TBC1D5
151651,EFHB
8850,KAT2B
9975,NR1D2
100616477,MIR4442
152098,ZCWPW2
201595,STT3B
51143,DYNC1LI1
10015,PDCD6IP
50853,VILL
9943,OXSR1
9942,XYLB
64651,CSRNP1
4820,NKTR
23395,LARS2
23218,NBEAL2
22937,SCAP
4134,MAP4
51246,SHISA5
65010,SLC26A6
1951,CELSR3
1605,DAG1
1154,CISH
2632,GBE1
5627,PROS1
1371,CPOX
55186,SLC25A36
92370,PXYLP1
5922,RASA2
5357,PLS1
9819,TSC22D2
25976,TIPARP
23043,TNIK
86,ACTL6A
55324,ABCF3
6434,TRA2B
647323,LINC02026
10188,TNK2
7037,TFRC
116211,TM4SF19
152217,NCBP2AS2
7884,SLBP
9778,KIAA0232
57533,TBC1D14
9948,WDR1
55300,PI4K2B
389203,SMIM20
9662,CEP135
22902,RUFY3
152815,THAP6
3184,HNRNPD
132660,LIN54
10144,FAM13A
5910,RAP1GDS1
23173,METAP1
128,ADH5
100093630,SNHG8
57182,ANKRD50
10424,PGRMC2
84640,USP38
8467,SMARCA5
55314,TMEM144
1182,CLCN3
54969,HPF1
3148,HMGB2
79682,CENPU
23379,ICE1
84246,MED10
134147,CMBL
10299,MARCHF6
6897,TARS1
3157,HMGCS1
134359,POC5
9456,HOMER1
23635,SSBP2
57561,ARRDC3
317671,RFESD
831,CAST
4012,LNPEP
100289230,LOC100289230
2241,FER
1657,DMXL1
4001,LMNB1
6583,SLC22A4
3659,IRF1
2661,GDF9
5307,PITX1
995,CDC25C
9782,MATR3
100505636,MALINC1
10307,APBB3
54853,WDR55
23367,LARP1
79646,PANK3
4869,NPM1
153222,CREBRF
83463,MXD3
57472,CNOT6
4245,MGAT1
90933,TRIM41
5272,SERPINB9
401233,HTATSF1P2
10455,ECI2
51522,TMEM14C
221711,SYCP2L
10048,RANBP9
51439,FAM8A1
1871,E2F3
51053,GMNN
493812,HCG11
7738,ZNF184
2794,GNL1
170954,PPP1R18
9656,MDC1
203068,TUBB
7916,PRRC2A
1192,CLIC1
80737,VWA7
3303,HSPA1A
4758,NEU1
1797,DXO
5089,PBX2
6046,BRD2
6257,RXRB
8705,B3GALT4
54887,UHRF1BP1
7629,ZNF76
222659,PXT1
5292,PIM1
154467,CCDC167
60685,ZFAND3
221443,OARD1
10695,CNPY3
5190,PEX6
116138,KLHDC3
9820,CUL7
9587,MAD2L1BP
8464,SUPT3H
26036,ZNF451
7803,PTP4A1
57579,FAM135A
1915,EEF1A1
4199,ME1
51167,CYB5R4
5454,POU3F2
57531,HACE1
285753,CEP57L1
25842,ASF1A
4121,MAN1A1
10767,HBS1L
9774,BCLAF1
4217,MAP3K5
5325,PLAGL1
55005,RMND1
26271,FBXO5
54516,MTRF1L
9589,WTAP
387263,C6orf120
51608,GET4
221927,BRAT1
9907,AP5Z1
10124,ARL4A
11335,CBX3
5898,RALA
84820,POLR2J4
4967,OGDH
441242,LOC441242
493754,GS1-124K5.11
27342,RABGEF1
9031,BAZ1B
3092,HIP1
3315,HSPB1
7532,YWHAG
136853,SSC4D
222194,RSBN1L
9988,DMTF1
8321,FZD1
1595,CYP51A1
84060,RBM48
10165,SLC25A13
55262,MAP11
56257,MEPCE
81628,TSC22D4
3268,AGFG2
26261,FBXO24
100129845,PCOLCE-AS1
7036,TFR2
1523,CUX1
168455,CCDC71L
26959,HBP1
11062,DUS4L
1738,DLD
168451,THAP5
83943,IMMP2L
54556,ING3
10447,FAM3C
8976,WASL
168850,ZNF800
29923,HILPDA
55798,METTL2B
23382,AHCYL2
4289,MKLN1
78996,CYREN
154791,FMC1
51650,MRPS33
7791,ZYX
9747,TCAF1
27010,TPK1
155054,ZNF425
57541,ZNF398
3757,KCNH2
4846,NOS3
6522,SLC4A2
64327,LMBR1
55112,WDR60
90459,ERI1
5108,PCM1
427,ASAH1
2039,DMTN
54793,KCTD9
11160,ERLIN2
286,ANK1
7994,KAT6A
2339,FNTA
138050,HGSNAT
79145,CHCHD7
389668,XKR9
27067,STAU2
377677,CA13
55529,PIP4P2
51633,OTUD6B
7534,YWHAZ
7071,KLF10
51582,AZIN1
9694,EMC2
9166,EBAG9
84985,FAM83A
10221,TRIB1
54108,CHRAC1
79792,GSDMD
1936,EEF1D
65263,PYCR3
5339,PLEC
84232,MAF1
113655,MFSD3
90987,ZNF251
57589,RIC1
80256,FAM214B
9380,GRHPR
84909,AOPEP
100507346,LOC100507346
10541,ANP32B
54881,TEX10
5887,RAD23B
7295,TXN
9991,PTBP3
80709,AKNA
100288842,B3GNT10
2934,GSN
2040,STOM
57684,ZBTB26
100379345,MIR181A2HG
1025,CDK9
79095,C9orf16
10999,SLC27A4
51148,CERCAM
84895,MIGA2
57171,DOLPP1
5524,PTPA
23064,SETX
266655,BRD3OS
158055,C9orf163
100616301,MIR4674
29085,PHPT1
89958,SAPCD2
10383,TUBB4B
7076,TIMP1
2010,EMD
8270,LAGE3
