gene.ids,gene.symb
56900,TMEM167B
677766,SCARNA2
1952,CELSR2
5686,PSMA5
284612,SYPL2
127002,ATXN7L2
57463,AMIGO1
271,AMPD2
2946,GSTM2
1435,CSF1
10768,AHCYL1
85369,STRIP1
388662,SLC6A17
3749,KCNC4
440600,RBM15-AS1
101410535,LAMTOR5-AS1
3737,KCNA2
3738,KCNA3
5906,RAP1A
100506343,INKA2-AS1
3752,KCND3
7482,WNT2B
54879,ST7L
4343,MOV10
333926,PPM1J
6566,SLC16A1
260425,MAGI3
10745,PHTF1
54665,RSBN1
64858,DCLRE1B
148281,SYT6
51592,TRIM33
163259,DENND2C
81839,VANGL1
55356,SLC22A15
476,ATP1A1
3321,IGSF3
8458,TTF2
10905,MAN1A2
54855,TENT5C
90874,ZNF697
26227,PHGDH
9659,PDE4DIP
653513,LOC653513
10401,PIAS3
5565,PRKAB2
9557,CHD1L
56957,OTUD7B
51177,PLEKHO1
81611,ANP32E
23248,RPRD2
54507,ADAMTSL4
4170,MCL1
29956,CERS2
54964,C1orf56
57592,ZNF687
5298,PI4KB
5993,RFX5
11189,CELF3
11022,TDRKH
117145,THEM4
6281,S100A10
6284,S100A13
11000,SLC27A3
9909,DENND4B
200186,CRTC2
27173,SLC39A1
10899,JTB
9898,UBAP2L
57198,ATP8B2
1141,CHRNB2
103,ADAR
90780,PYGO2
51043,ZBTB7B
100505666,DCST1-AS1
55974,SLC50A1
54344,DPM3
80128,TRIM46
4582,MUC1
693235,MIR92B
4580,MTX1
10712,FAM189B
23623,RUSC1
55870,ASH1L
22889,KHDC4
9181,ARHGEF2
56893,UBQLN4
4000,LMNA
4209,MEF2D
128240,NAXE
1382,CRABP2
3068,HDGF
5546,PRCC
3645,INSRR
4914,NTRK1
9826,ARHGEF11
2117,ETV3
8407,TAGLN2
3766,KCNJ10
50717,DCAF8
1314,COPA
50848,F11R
7391,USF1
9191,DEDD
27005,USP21
5498,PPOX
6391,SDHC
127943,FCRLB
9722,NOS1AP
6675,UAP1
4259,MGST3
223,ALDH9A1
54499,TMCO1
149297,FAM78B
57645,POGK
117143,TADA1
84944,MAEL
5451,POU2F1
8804,CREG1
9019,MPZL1
25874,MPC2
23432,GPR161
261726,TIPRL
375035,SFT2D2
481,ATP1B1
10560,SLC19A2
57147,SCYL3
5396,PRRX1
23215,PRRC2C
8674,VAMP4
26052,DNM3
51430,SUCO
9588,PRDX6
84614,ZBTB37
9910,RABGAP1L
460,ASTN1
100302401,RASAL2-AS1
55103,RALGPS2
9917,FAM20B
64222,TOR3A
27,ABL2
148753,FAM163A
9857,CEP350
89884,LHX4
84320,ACBD6
9213,XPR1
51278,IER5
2752,GLUL
6004,RGS16
284648,LINC01686
1660,DHX9
3915,LAMC1
23127,COLGALT2
116496,NIBAN1
6045,RNF2
83872,HMCN1
51377,UCHL5
79577,CDC73
259266,ASPM
23418,CRB1
163486,DENND1B
388722,C1orf53
140609,NEK7
2494,NR5A2
23528,ZNF281
83479,DDX59
23271,CAMSAP2
55765,INAVA
23046,KIF21B
647219,ASCL5
23612,PHLDA3
89796,NAV1
100847050,MIR5191
6051,RNPEP
1999,ELF3
127829,ARL8A
127833,SYT2
10765,KDM5B
5877,RABIF
59349,KLHL12
51094,ADIPOR1
92703,TMEM183A
9580,SOX13
55224,ETNK2
5287,PIK3C2B
4194,MDM4
25778,DSTYK
9911,TMCC2
2005,ELK4
64710,NUCKS1
254428,SLC41A1
8444,DYRK3
9261,MAPKAPK2
55432,YOD1
1604,CD55
1380,CR2
4179,CD46
5362,PLXNA2
50486,G0S2
255928,SYT14
56256,SERTAD4
55733,HHAT
7188,TRAF5
7779,SLC30A1
9926,LPGAT1
5525,PPP2R5A
29937,NENF
467,ATF3
55509,BATF3
642946,FLVCR1-DT
28982,FLVCR1
79805,VASH2
56950,SMYD2
5784,PTPN14
1063,CENPF
51133,KCTD3
55105,GPATCH2
728463,TGFB2-AS1
55532,SLC30A10
4139,MARK1
79762,C1orf115
54996,MARC2
64757,MARC1
3142,HLX
11221,DUSP10
375056,MIA3
7100,TLR5
55061,SUSD4
824,CAPN2
7159,TP53BP2
23219,FBXO28
8560,DEGS1
29097,CNIH4
80232,WDR26
149111,CNIH3
127602,DNAH14
3930,LBR
55740,ENAH
2052,EPHX1
9725,TMEM63A
10637,LEFTY1
3020,H3-3A
64746,ACBD3
83881,MIXL1
286826,LIN9
142,PARP1
375057,STUM
5664,PSEN2
56997,COQ8A
8476,CDC42BPA
339500,ZNF678
116841,SNAP47
7483,WNT9A
375,ARF1
79169,C1orf35
200205,IBA57
81559,TRIM11
149603,RNF187
58480,RHOU
5867,RAB4A
126731,CCSAP
55746,NUP133
23456,ABCB10
27097,TAF5L
9816,URB2
2590,GALNT2
79605,PGBD5
84886,C1orf198
79573,TTC13
375061,FAM89A
440730,TRIM67
84284,NTPCR
80003,PCNX2
84451,MAP3K21
148641,SLC35F3
6894,TARBP1
359948,IRF2BP2
100506810,LINC01132
23029,RBM34
51742,ARID4B
148789,B3GALNT2
2786,GNG4
1130,LYST
4811,NID1
7107,GPR137B
56605,ERO1B
128178,EDARADD
88,ACTN2
6262,RYR2
1131,CHRM3
56776,FMN2
6000,RGS7
2271,FH
23596,OPN3
9859,CEP170
339529,LINC02774
10472,ZBTB18
159,ADSS2
257044,CATSPERE
51029,DESI2
116228,COX20
3192,HNRNPU
84288,EFCAB2
55083,KIF26B
51097,SCCPDH
25909,AHCTF1
100533111,ZNF670-ZNF695
79862,ZNF669
388759,C1orf229
84838,ZNF496
10771,ZMYND11
22982,DIP2C
23185,LARP4B
23560,GTPBP4
3422,IDI1
22884,WDR37
10531,PITRM1
1316,KLF6
79754,ASB13
54906,TASOR2
2665,GDI2
84893,FBH1
84991,RBM17
5209,PFKFB3
5588,PRKCQ
439949,PRKCQ-AS1
57713,SFMBT2
10659,CELF2
9712,USP6NL
254427,PROSER2
55526,DHTKD1
55176,SEC61A2
57118,CAMK1D
83643,CCDC3
10133,OPTN
55388,MCM10
22929,SEPHS1
83641,FAM107B
441549,CDNF
79723,SUV39H2
10557,RPP38
9397,NMT2
221061,FAM171A1
1787,TRDMT1
7431,VIM
338596,ST8SIA6
9200,HACD1
783,CACNB2
84898,PLXDC2
100128511,NEBL-AS1
100302129,MIR1915
399726,MIR1915HG
387640,SKIDA1
8028,MLLT10
64215,DNAJC1
23412,COMMD3
648,BMI1
5305,PIP4K2A
256297,PTF1A
220213,OTUD1
57584,ARHGAP21
56952,PRTFDC1
79896,THNSL1
57512,GPR158
23590,PDSS1
10006,ABI1
55130,ARMC4
143098,MPP7
51322,WAC
6840,SVIL
220929,ZNF438
6935,ZEB1
94134,ARHGAP12
3799,KIF5B
80314,EPC1
3688,ITGB1
56288,PARD3
8453,CUL2
1390,CREM
219771,CCNY
57209,ZNF248
7581,ZNF33A
9790,BMS1
5979,RET
55454,CSGALNACT2
221002,RASGEF1A
3185,HNRNPF
642819,ZNF487
7580,ZNF32
11067,DEPP1
220979,C10orf25
2662,GDF10
5599,MAPK8
196740,VSTM4
101243544,NA
6572,SLC18A3
259230,SGMS1
5592,PRKG1
253430,IPMK
7321,UBE2D1
220965,FAM13C
220963,SLC16A9
8030,CCDC6
288,ANK3
983,CDK1
9886,RHOBTB1
219790,RTKN2
84890,ADO
1959,EGR2
221035,REEP3
23411,SIRT1
26091,HERC4
220202,ATOH7
3189,HNRNPH3
1763,DNA2
80312,TET1
55749,CCAR1
219736,STOX1
79009,DDX50
9188,DDX21
26128,KIFBP
9559,VPS26A
6832,SUPV3L1
3098,HK1
219738,FAM241B
1305,COL13A1
55506,MACROH2A2
219743,TYSND1
27143,PALD1
140766,ADAMTS14
5092,PCBD1
64072,CDH23
64115,VSIR
5660,PSAP
9469,CHST3
10367,MICU1
90550,MCU
414245,DNAJC9-AS1
51021,MRPS16
310,ANXA7
5532,PPP3CB
729096,BMS1P4
23053,ZSWIM8
8509,NDST2
818,CAMK2G
5328,PLAU
7414,VCL
26985,AP3M1
23522,KAT6B
7417,VDAC2
118881,COMTD1
100131213,ZNF503-AS2
3778,KCNMA1
9231,DLG5
100128292,DLG5-AS1
6229,RPS24
10105,PPIF
219654,ZCCHC24
80195,TMEM254
311,ANXA11
81619,TSPAN14
10718,NRG3
27069,GHITM
54462,CCSER2
2894,GRID1
23063,WAPL
657,BMPR1A
2746,GLUD1
84896,ATAD1
100144748,KLLN
5728,PTEN
57559,STAMBPL1
3363,HTR7
84333,PCGF5
143279,HECTD2
80351,TNKS2
143282,FGFBP3
22849,CPEB3
54708,MARCHF5
3416,IDE
3087,HHEX
54536,EXOC6
159371,SLC35G1
51196,PLCE1
23232,TBC1D12
3070,HELLS
9124,PDLIM1
10580,SORBS1
5832,ALDH18A1
100127889,NA
84458,LCOR
10023,FRAT1
23401,FRAT2
23223,RRP12
55361,PI4K2A
118813,ZFYVE27
6425,SFRP5
55118,CRTAC1
84171,LOXL4
3257,HPS1
26507,CNNM1
81894,SLC25A28
57089,ENTPD7
51076,CUTC
55280,CWF19L1
55719,SLF2
56652,TWNK
84445,LZTS2
79955,PDZD7
81621,KAZALD1
399806,LBX1-AS1
6468,FBXW4
2253,FGF8
30819,KCNIP2
79591,ARMH3
79803,HPS6
8861,LDB1
4791,NFKB2
79004,CUEDC2
81603,TRIM8
403,ARL3
118980,SFXN2
54805,CNNM2
84108,PCGF6
9148,NEURL1
80217,CFAP43
9446,GSTO1
85450,ITPRIP
114815,SORCS1
7511,XPNPEP1
4601,MXI1
10285,SMNDC1
1847,DUSP5
9126,SMC3
282996,RBM20
27250,PDCD4
8036,SHOC2
150,ADRA2A
57678,GPAM
840,CASP7
374354,NHLRC2
153,ADRB1
84632,AFAP1L2
57700,FAM160B1
142940,TRUB1
26033,ATRNL1
259217,HSPA12A
57698,SHTN1
11023,VAX1
100500893,MIR3663
118987,PDZD8
2018,EMX2
22841,RAB11FIP2
63877,FAM204A
143384,CACUL1
340719,NANOS1
8661,EIF3A
55855,DENND10P1
119559,SFXN4
2869,GRK5
7073,TIAL1
9531,BAG3
79892,MCMBP
283089,WDR11-AS1
2263,FGFR2
11101,ATE1
54780,NSMCE4A
10579,TACC2
59338,PLEKHA1
5654,HTRA1
36,ACADSB
340784,HMX3
9184,BUB3
51363,CHST15
4942,OAT
390010,NKX1-2
64077,LHPP
399818,EEF1AKMT2
1488,CTBP2
26098,EDRF1
56647,BCCIP
55760,DHX32
1793,DOCK1
4288,MKI67
253738,EBF3
10539,GLRX3
664,BNIP3
282973,JAKMIP3
10570,DPYSL4
282974,STK32C
80313,LRRC27
170394,PWWP2B
3632,INPP5A
84435,ADGRA1
8433,UTF1
118472,ZNF511
282969,FUOM
196743,PAOX
92170,MTG1
23410,SIRT3
8519,IFITM1
11187,PKP3
81490,PTDSS2
6050,RNH1
3265,HRAS
8045,RASSF7
100506211,MIR210HG
6888,TALDO1
347862,GATD1
79751,SLC25A22
55367,PIDD1
6181,RPLP2
57104,PNPLA2
283229,CRACR2B
977,CD151
7106,TSPAN4
66005,CHID1
161,AP2A2
54472,TOLLIP
9024,BRSK2
6150,MRPL23
723961,INS-IGF2
51214,IGF2-AS
975,CD81
10078,TSSC4
3784,KCNQ1
1028,CDKN1C
7262,PHLDA2
4676,NAP1L4
833,CARS1
114879,OSBPL5
7748,ZNF195
116969,ART5
27315,PGAP2
6240,RRM1
6609,SMPD1
322,APBB1
3611,ILK
6881,TAF10
7762,ZNF215
7761,ZNF214
143425,SYT9
8495,PPFIBP2
7275,TUB
65975,STK33
6157,RPL27A
6764,DENND2B
56672,AKIP1
493900,TMEM9B-AS1
56675,NRIP3
23258,DENND5A
7465,WEE1
81846,SBF2
133,ADM
50862,RNF141
58486,ZBED5
9645,MICAL2
55742,PARVA
7003,TEAD1
406,ARNTL
84188,FAR1
22800,RRAS2
5140,PDE3B
120227,CYP2R1
55553,SOX6
144100,PLEKHA7
5286,PIK3C2A
4925,NUCB2
3767,KCNJ11
3746,KCNC1
113174,SAAL1
7251,TSG101
55293,UEVLD
144110,TMEM86A
79733,E2F8
10553,HTATIP2
10196,PRMT3
55366,LGR4
55327,LIN7C
744,MPPED2
5080,PAX6
5954,RCN1
10480,EIF3M
79056,PRRG4
79832,QSER1
91614,DEPDC7
55346,TCP11L1
10114,HIPK3
4005,LMO2
4076,CAPRIN1
847,CAT
8050,PDHX
24147,FJX1
54765,TRIM44
7189,TRAF6
55761,TTC17
51144,HSD17B12
387763,C11orf96
2132,EXT2
60529,ALX4
3732,CD82
9537,TP53I11
56981,PRDM11
8534,CHST1
9409,PEX16
120071,LARGE2
51317,PHF21A
90993,CREB3L1
8525,DGKZ
4192,MDK
9793,CKAP5
4038,LRP4
79096,C11orf49
29763,PACSIN3
1643,DDB2
8567,MADD
4722,NDUFS3
55709,KBTBD4
23788,MTCH2
23360,FNBP4
23279,NUP160
5795,PTPRJ
9246,UBE2L6
25921,ZDHHC5
219541,MED19
80829,ZFP91
23220,DTX4
6809,STX3
79080,CCDC86
54972,TMEM132A
55048,VPS37C
51259,TMEM216
79869,CPSF7
100616470,MIR4488
390205,LRRC10B
9066,SYT7
745,MYRF
2237,FEN1
9415,FADS2
5866,RAB3IL1
2495,FTH1
3619,INCENP
1937,EEF1G
9219,MTA2
256364,EML3
6094,ROM1
80789,INTS5
79081,LBHD1
51035,UBXN1
26580,BSCL2
100534595,HNRNPUL2-BSCL2
5436,POLR2G
10482,NXF1
6811,STX5
54663,WDR74
6520,SLC3A2
25923,ATL3
65998,C11orf95
144097,SPINDOC
2011,MARK2
79829,NAA40
55611,OTUB1
28992,MACROD1
84304,NUDT22
3338,DNAJC4
7423,VEGFB
26472,PPP1R14B
5331,PLCB3
56834,GPR137
25858,CATSPERZ
2101,ESRRA
100996455,LINC02724
9379,NRXN2
10235,RASGRP2
7536,SF1
55561,CDC42BPG
10938,EHD1
23130,ATG2A
5526,PPP2R5B
100528018,ARL2-SNX15
402,ARL2
7542,ZFPL1
738,VPS51
7108,TM7SF2
84447,SYVN1
823,CAPN1
440044,SLC22A20P
23649,POLA2
220359,TIGD3
283130,SLC25A45
283131,NEAT1
57410,SCYL1
4054,LTBP3
254100,ZNRD2-AS1
10534,ZNRD2
23625,FAM89B
254102,EHBP1L1
4296,MAP3K11
399909,PCNX3
6494,SIPA1
84153,RNASEH2C
91056,AP5B1
1072,CFL1
80198,MUS81
30008,EFEMP2
11007,CCDC85B
83638,C11orf68
9092,SART1
55690,PACS1
64837,KLC2
254263,CNIH2
10897,YIF1A
11041,B4GAT1
3177,SLC29A2
266743,NPAS4
246330,PELI3
10072,DPP3
254359,ZDHHC24
55231,CCDC87
100526737,RBM14-RBM4
79703,C11orf80
9986,RCE1
5091,PC
29984,RHOD
22992,KDM2A
156,GRK2
338692,ANKRD13D
54961,SSH3
23529,CLCF1
5499,PPP1CA
57175,CORO1B
80194,TMEM134
2950,GSTP1
4723,NDUFV1
10312,TCIRG1
1119,CHKA
51111,KMT5B
4041,LRP5
55291,PPP6R3
51083,GAL
9633,TESMIN
219931,TPCN2
595,CCND1
2248,FGF3
8772,FADD
8500,PPFIA1
1717,DHCR7
55004,LAMTOR1
25906,ANAPC15
3636,INPPL1
5138,PDE2A
116985,ARAP1
89849,ATG16L2
9873,FCHSD2
5029,P2RY2
9828,ARHGEF17
23201,FAM168A
51642,MRPL48
283209,PGM2L1
254225,RNF169
408,ARRB1
81544,GDPD5
871,SERPINH1
283214,LOC283214
7481,WNT11
5612,THAP12
2615,LRRC32
25987,TSKU
726,CAPN5
5058,PAK1
282679,AQP11
51773,RSF1
283219,KCTD21
79731,NARS2
26011,TENM4
220382,FAM181B
51585,PCF11
58487,CREBZF
8301,PICALM
11098,PRSS23
10003,NAALAD2
120103,SLC36A4
24145,PANX1
2526,FUT4
154810,AMOTL1
143686,SESN3
143684,FAM76B
8898,MTMR2
8690,JRKL
143872,ARHGAP42
10413,YAP1
143879,KBTBD3
55531,ELMOD1
54734,RAB39A
143888,POGLUT3
23086,EXPH5
85463,ZC3H12C
5962,RDX
2230,FDX1
143903,LAYN
23235,SIK2
5519,PPP2R1B
85458,DIXDC1
1737,DLAT
1813,DRD2
57646,USP28
10179,RBM7
23705,CADM1
84811,BUD13
23387,SIK3
5049,PAFAH1B2
6876,TAGLN
9159,PCSK7
257160,RNF214
22897,CEP164
3587,IL10RA
6330,SCN4B
84866,TMEM25
23187,PHLDB1
1656,DDX6
100616376,MIR4492
100500840,NA
10525,HYOU1
9854,C2CD2L
64137,ABCG4
4162,MCAM
9099,USP2
5818,NECTIN1
220323,OAF
219902,TLCD5
23365,ARHGEF12
79827,CLMP
55800,SCN3B
7753,ZNF202
90952,ESAM
79684,MSANTD2
64221,ROBO3
219855,SLC37A2
9538,EI24
79607,FAM118B
114609,TIRAP
399972,GSEC
6484,ST3GAL4
84623,KIRREL3
2313,FLI1
8538,BARX2
4798,NFRKB
440072,LINC00167
56980,PRDM10
334,APLP2
29068,ZBTB44
83700,JAM3
112936,VPS26B
112937,GLB1L3
89944,GLB1L2
283358,B4GALNT3
65125,WNK1
5893,RAD52
23085,ERC1
144699,FBXL14
775,CACNA1C
2288,FKBP4
2305,FOXM1
7004,TEAD4
84766,CRACR2A
894,CCND2
6843,VAMP1
2597,GAPDH
25900,IFFO1
1108,CHD4
171017,ZNF384
5763,PTMS
10536,P3H3
7167,TPI1
84727,SPSB2
113246,C12orf57
55810,FOXJ2
57494,RIMKLB
1911,PHC1
253128,LINC00612
23710,GABARAPL1
2120,ETV6
54682,MANSC1
80824,DUSP16
1027,CDKN1B
51202,DDX47
81575,APOLD1
9052,GPRC5A
93164,HTR7P1
51729,WBP11
2059,EPS8
11171,STRAP
51071,DERA
54477,PLEKHA5
80763,SPX
3945,LDHB
3764,KCNJ8
55500,ETNK1
6660,SOX5
3845,KRAS
100506451,RASSF8-AS1
11228,RASSF8
8082,SSPN
3709,ITPR2
51768,TM7SF3
23012,STK38L
56938,ARNTL2
57542,KLHL42
55711,FAR2
83857,TMTC1
10526,IPO8
65981,CAPRIN2
441631,TSPAN11
58516,SINHCAF
100874249,DENND5B-AS1
160518,DENND5B
55196,RESF1
636,BICD1
10059,DNM1L
55605,KIF21A
114134,SLC2A13
120892,LRRK2
283464,GXYLT1
10138,YAF2
144165,PRICKLE1
5756,TWF1
84216,TMEM117
440097,DBX2
51054,PLEKHA8P1
81539,SLC38A1
54407,SLC38A2
91523,PCED1B
10411,RAPGEF3
51564,HDAC7
7421,VDR
1280,COL2A1
29843,SENP1
140461,ASB8
121274,ZNF641
784,CACNB3
377,ARF3
7471,WNT1
23109,DDN
5571,PRKAG1
10376,TUBA1B
84790,TUBA1C
338761,C1QL4
65244,SPATS2
25766,PRPF40B
7009,TMBIM6
57701,NCKAP5L
41,ASIC1
6602,SMARCD1
91012,CERS5
57609,DIP2B
4891,SLC11A2
81566,CSRNP2
57228,SMAGP
9498,SLC4A8
6334,SCN8A
94,ACVRL1
91,ACVR1B
3164,NR4A1
60673,ATG101
3887,KRT81
1975,EIF4B
23371,TNS2
283335,LOC283335
84926,SPRYD3
283337,ZNF740
84975,MFSD5
60314,C12orf10
6667,SP1
100124700,HOTAIR
3226,HOXC10
3221,HOXC4
23583,SMUG1
22818,COPZ1
2647,BLOC1S1
967,CD63
85406,DNAJC14
1606,DGKA
2065,ERBB3
84872,ZC3H10
23344,ESYT1
4637,MYL6
6601,SMARCC2
283373,ANKRD52
93058,COQ10A
1431,CS
10728,PTGES3
4665,NAB2
11247,NXPH4
56901,NDUFA4L2
10540,DCTN2
2583,B4GALNT1
100130776,AGAP2-AS1
6302,TSPAN31
1019,CDK4
25895,EEF1AKMT3
10106,CTDSP2
121227,LRIG3
9194,SLC16A7
338811,TAFA2
283416,LINC01465
57460,PPM1H
144577,C12orf66
29110,TBK1
283349,RASSF3
23329,TBC1D30
11197,WIF1
253827,MSRB3
204010,RPSAP52
55832,CAND1
8445,DYRK2
56890,MDM1
5908,RAP1B
1368,CPM
11052,CPSF6
10818,FRS2
117177,RAB3IP
27345,KCNMB4
5787,PTPRB
83591,THAP2
55266,TMEM19
23011,RAB21
256710,GLIPR1L1
22822,PHLDA1
4673,NAP1L1
23390,ZDHHC17
1466,CSRP2
144455,E2F7
5074,PAWR
4659,PPP1R12A
160335,TMTC2
1848,DUSP6
282809,POC1B
338758,ATP2B1-AS1
694,BTG1
11163,NUDT4
7334,UBE2N
8738,CRADD
10154,PLXNC1
57458,TMCC3
55591,VEZT
84101,USP44
59277,NTN4
144193,AMDHD1
2004,ELK3
5128,CDK17
121441,NEDD1
100128191,TMPO-AS1
121457,IKBIP
317,APAF1
23074,UHRF1BP1L
55681,SCYL2
121601,ANO4
56994,CHPT1
55332,DRAM1
51019,WASHC3
51559,NT5DC3
100500842,MIR3652
83468,GLT8D2
29915,HCFC2
4801,NFYB
50515,CHST11
160428,ALDH1L2
23325,WASHC4
55198,APPL2
9891,NUAK1
10970,CKAP4
255394,TCP11L2
90488,TMEM263
121551,BTBD11
11108,PRDM4
9671,WSCD2
1240,CMKLR1
23479,ISCU
23603,CORO1C
84749,USP30
7374,UNG
121643,FOXN4
84915,FAM222A
51228,GLTP
84260,TCHP
9815,GIT2
88455,ANKRD13A
488,ATP2A2
51699,VPS29
10019,SH2B3
6311,ATXN2
217,ALDH2
8550,MAPKAPK5
10961,ERP29
80018,NAA25
283450,HECTD4
5781,PTPN11
22895,RPH3A
1840,DTX1
84934,RITA1
